,seed,n_agents,fill,cost,lle,hle,success,planner
115,6,3,0.4,8,31,12,1,TCBS
116,6,3,0.6,11,14,1,1,CBS-TA
117,6,3,0.6,11,36,18,1,TCBS
118,6,3,0.8,4,7,1,1,CBS-TA
119,6,3,0.8,4,6,13,1,TCBS
120,6,4,0.4,12,16,1,1,CBS-TA
121,6,4,0.4,12,21,97,1,TCBS
122,6,4,0.6,15,131,4,1,CBS-TA
123,6,4,0.6,15,25,144,1,TCBS
124,6,4,0.8,8,12,1,1,CBS-TA
125,6,4,0.8,8,26,100,1,TCBS
126,7,2,0.4,8,10,1,1,CBS-TA
127,7,2,0.4,8,16,4,1,TCBS
128,7,2,0.6,8,10,1,1,CBS-TA
129,7,2,0.6,8,16,5,1,TCBS
130,7,2,0.8,10,48,2,1,CBS-TA
131,7,2,0.8,8,15,4,1,TCBS
132,7,3,0.4,4,7,1,1,CBS-TA
133,7,3,0.4,4,14,13,1,TCBS
134,7,3,0.6,10,13,1,1,CBS-TA
135,7,3,0.6,10,19,19,1,TCBS
136,7,3,0.8,5,26,2,1,CBS-TA
137,7,3,0.8,5,8,22,1,TCBS
138,7,4,0.4,7,58,3,1,CBS-TA
139,7,4,0.4,7,25,87,1,TCBS
140,7,4,0.6,14,18,1,1,CBS-TA
141,7,4,0.6,14,48,101,1,TCBS
142,7,4,0.8,4,8,1,1,CBS-TA
143,7,4,0.8,4,11,49,1,TCBS
144,8,2,0.4,7,9,1,1,CBS-TA
145,8,2,0.4,7,22,3,1,TCBS
146,8,2,0.6,1,3,1,1,CBS-TA
147,8,2,0.6,1,3,3,1,TCBS
148,8,2,0.8,5,7,1,1,CBS-TA
149,8,2,0.8,5,9,4,1,TCBS
150,8,3,0.4,6,9,1,1,CBS-TA
151,8,3,0.4,6,33,11,1,TCBS
152,8,3,0.6,5,8,1,1,CBS-TA
153,8,3,0.6,5,14,15,1,TCBS
154,8,3,0.8,5,28,2,1,CBS-TA
155,8,3,0.8,5,16,19,1,TCBS
156,8,4,0.4,16,76,2,1,CBS-TA
157,8,4,0.4,16,41,140,1,TCBS
158,8,4,0.6,9,32,2,1,CBS-TA
159,8,4,0.6,9,23,134,1,TCBS
160,8,4,0.8,6,35,2,1,CBS-TA
161,8,4,0.8,6,13,122,1,TCBS
162,9,2,0.4,13,57,2,1,CBS-TA
163,9,2,0.4,13,26,5,1,TCBS
164,9,2,0.6,7,9,1,1,CBS-TA
165,9,2,0.6,7,18,3,1,TCBS
166,9,2,0.8,2,4,1,1,CBS-TA
167,9,2,0.8,2,8,4,1,TCBS
168,9,3,0.4,6,9,1,1,CBS-TA
169,9,3,0.4,6,20,15,1,TCBS
170,9,3,0.6,9,12,1,1,CBS-TA
171,9,3,0.6,9,22,19,1,TCBS
172,9,3,0.8,3,6,1,1,CBS-TA
173,9,3,0.8,3,14,15,1,TCBS
174,9,4,0.4,12,77,3,1,CBS-TA
175,9,4,0.4,12,49,104,1,TCBS
176,9,4,0.6,9,40,2,1,CBS-TA
177,9,4,0.6,9,29,100,1,TCBS
178,9,4,0.8,6,89,5,1,CBS-TA
179,9,4,0.8,6,36,99,1,TCBS
